contract_name,domain,health_score,priority,issues,recommendations,validation_timestamp
ZCV_DFP_CASH_MONITOR,sap_bw,80.2,Medium,Severely lacking documentation,Add comprehensive documentation,2025-09-05 00:09:17.451628
ZCV_DFP_FREEANALYSIS,sap_bw,74.4,Medium,Severely lacking documentation,Add comprehensive documentation,2025-08-29 00:49:13.020543
ZCV_DFP_FREEANALYSIS,sap_bw,74.4,Medium,Severely lacking documentation,Add comprehensive documentation,2025-09-05 00:26:14.933622
ZCV_DFP_FREE_CASHFLOW,sap_bw,56.4,High,Poor health score; Severely lacking documentation; Low field completeness,Schedule review within 1 week; Add comprehensive documentation; Complete missing field definitions,2025-08-29 00:48:31.933575
ZCV_DFP_FREE_CASHFLOW,sap_bw,56.4,High,Poor health score; Severely lacking documentation; Low field completeness,Schedule review within 1 week; Add comprehensive documentation; Complete missing field definitions,2025-09-05 00:09:42.032861
ZCV_GEP_CC_KS13,sap_bw,64.1,Medium,Severely lacking documentation; Low field completeness,Add comprehensive documentation; Complete missing field definitions,2025-08-29 00:43:27.195178
ZCV_GEP_CC_KS13,sap_bw,65.6,Medium,Severely lacking documentation; Low field completeness,Add comprehensive documentation; Complete missing field definitions,2025-09-05 00:07:38.706092
ZCV_GEP_PC_KE5X,sap_bw,63.7,Medium,Severely lacking documentation; Low field completeness,Add comprehensive documentation; Complete missing field definitions,2025-08-29 00:40:58.576902
ZCV_GEP_PC_KE5X,sap_bw,63.7,Medium,Severely lacking documentation; Low field completeness,Add comprehensive documentation; Complete missing field definitions,2025-09-05 00:06:41.307646
ZCV_GL_DFP_BLSHT_V001,sap_bw,62.6,Medium,Severely lacking documentation; Low field completeness,Add comprehensive documentation; Complete missing field definitions,2025-08-29 00:46:15.755816
ZCV_GL_DFP_BLSHT_V001,sap_bw,62.6,Medium,Severely lacking documentation; Low field completeness,Add comprehensive documentation; Complete missing field definitions,2025-09-05 00:08:44.765014
ZCV_GL_DFP_CASH_FLOW_V001,sap_bw,59.2,High,Poor health score; Severely lacking documentation; Low field completeness,Schedule review within 1 week; Add comprehensive documentation; Complete missing field definitions,2025-08-29 00:49:53.508220
ZCV_GL_DFP_CASH_FLOW_V001,sap_bw,59.2,High,Poor health score; Severely lacking documentation; Low field completeness,Schedule review within 1 week; Add comprehensive documentation; Complete missing field definitions,2025-09-05 00:26:57.819828
ZCV_GL_DFP_VOLIS_V001,sap_bw,62.7,Medium,Severely lacking documentation; Low field completeness,Add comprehensive documentation; Complete missing field definitions,2025-08-29 00:39:20.227976
ZCV_GL_DFP_VOLIS_V001,sap_bw,62.7,Medium,Severely lacking documentation; Low field completeness,Add comprehensive documentation; Complete missing field definitions,2025-09-05 00:05:16.136413
ZCV_PRCTR_GROUP,sap_bw,67.0,Medium,Severely lacking documentation; Low field completeness,Add comprehensive documentation; Complete missing field definitions,2025-08-29 00:43:55.422401
ZCV_PRCTR_GROUP,sap_bw,73.0,Medium,Severely lacking documentation,Add comprehensive documentation,2025-09-05 00:08:20.226621
ZCV_SRP_CC_KS13,sap_bw,64.9,Medium,Severely lacking documentation; Low field completeness,Add comprehensive documentation; Complete missing field definitions,2025-08-29 00:42:55.088528
ZCV_SRP_CC_KS13,sap_bw,64.9,Medium,Severely lacking documentation; Low field completeness,Add comprehensive documentation; Complete missing field definitions,2025-09-05 00:07:15.271695
ZCV_SRP_PC_KE5X,sap_bw,62.9,Medium,Severely lacking documentation; Low field completeness,Add comprehensive documentation; Complete missing field definitions,2025-08-29 00:40:10.648270
ZCV_SRP_PC_KE5X,sap_bw,62.9,Medium,Severely lacking documentation; Low field completeness,Add comprehensive documentation; Complete missing field definitions,2025-09-05 00:06:14.852842
datatypes_1,default,82.5,Medium,Severely lacking documentation,Add comprehensive documentation,2025-08-29 00:55:24.067691
datatypes_1,default,95.0,Medium,Severely lacking documentation,Add comprehensive documentation,2025-09-05 16:18:30.395954
datatypes_1,default,97.5,Medium,Severely lacking documentation,Add comprehensive documentation,2025-09-05 16:20:22.866046
